control_id,source_csv,source_row,source_column,field_or_control,purpose,legal_basis,retention,access,consent_and_revocation,evidence_artifact,quality_threshold,test_procedure,owner,severity,status
GOV-001,03-corrected-csv/08_Dicionario_Dados/08_Dicionario_Dados.csv,6-46,"Sensibilidade;Base legal / finalidade",all classified fields,documented processing purpose and minimization,"contract execution, legal obligation, or consent per purpose",purpose-specific TTL,"purpose-scoped RBAC/ABAC","consent version required; revocation blocks new processing within 5 min",ROPA + data catalog + access review,100% high/critical fields have purpose and legal basis,nightly catalog completeness test,DPO,Crítica,proposed
GOV-002,03-corrected-csv/08_Dicionario_Dados/08_Dicionario_Dados.csv,8,consent_status,consent administration,record purpose-specific choice,consent,permanent while necessary,CMP restricted to DPO; downstream deny-by-default,revocation event propagates within 5 min,CMP event log + propagation test,100% current version and timestamp,replay consent fixture and assert block <=300s,DPO,Crítica,proposed
GOV-003,03-corrected-csv/08_Dicionario_Dados/08_Dicionario_Dados.csv,6-8,"person_id;company_id;consent_status",pseudonymous identity,service delivery and consent enforcement,"contract execution / consent as applicable",60 months vault; analytical TTL by purpose,"vault separated; analytics token only",revocation blocks new use within 5 min,token-vault separation test,100% analytical facts use token,pipeline scan + quarterly access review,Data Engineering,Crítica,proposed
GOV-004,03-corrected-csv/09_Eventos_Produto/09_Eventos_Produto.csv,30,consent_updated,consent lifecycle,auditable consent change and enforcement,consent,permanent while necessary,CMP/DPO only; consumers read event,each event has purpose/status/version/timestamp and propagates <=5 min,CMP audit log + propagation report,100% required properties and propagation <=300s,JSON schema + timed E2E test,DPO,Crítica,proposed
GOV-005,03-corrected-csv/09_Eventos_Produto/09_Eventos_Produto.csv,31,data_quality_incident,quality incident response,record scope and remediation,"legal obligation / security",60 months after closure,incident team restricted; records quarantined,"ticket opened <=4h",ticket + quarantine manifest + postmortem,100% critical failures ticketed <=4h,inject failure and assert quarantine/publication block,Security,Crítica,proposed
GOV-006,03-corrected-csv/11_Governanca_LGPD/11_Governanca_LGPD.csv,12,"Direitos do titular","DSAR access/correction/deletion","legal obligation","legal obligation","request record 60 months after closure","DPO case queue; requester verified","ack <=2 business days and resolve <=15 business days","DSAR register + verification + receipt","100% requests meet SLA or approved exception","monthly closed-case SLA sample",DPO,Crítica,proposed
GOV-007,03-corrected-csv/11_Governanca_LGPD/11_Governanca_LGPD.csv,11,Retenção,retention and deletion,purpose limitation,"legal obligation / purpose limitation",purpose-specific TTL; deletion log 60 months,Data owner executes; DPO approves exceptions,expired records deleted or exceptioned within 7 days,deletion job log + TTL reconciliation,100% retention rows have purpose/legal basis,monthly expired-record query,Data Governance,Alta,proposed
GOV-008,03-corrected-csv/11_Governanca_LGPD/11_Governanca_LGPD.csv,10,Pseudonimização,analytical privacy,security and minimization,security obligation,token vault 60 months; derived TTL by purpose,analytics cannot access re-identification vault,100% high/critical facts pseudonymized before load,direct-identifier scan + access log,100% analytical loads pass scan,automated scan on every load,Data Engineering,Crítica,proposed
GOV-009,03-corrected-csv/11_Governanca_LGPD/11_Governanca_LGPD.csv,27,Publicação,publication control,only certified metrics reach dashboards,"legitimate interest / contract",manifest 60 months,Analytics publishes; Metric Owner certifies,100% KPI cells certified and versioned,publication manifest + catalog snapshot,100% dashboards pass gate,automated release gate,Analytics,Alta,proposed
GOV-010,03-corrected-csv/11_Governanca_LGPD/11_Governanca_LGPD.csv,16,Semântica,KPI certification,consistent reproducible decisions,"contract / legitimate interest",certification 60 months,Metric Owner edit; Analytics read,certification requires formula/unit/population/window/source/owner/version,certification record + sign-off,100% MVP KPIs certified,weekly missing-field query,Metric Owner,Alta,proposed
GOV-011,03-corrected-csv/11_Governanca_LGPD/11_Governanca_LGPD.csv,24,Drift,model rollback,prevent harmful stale decisions,"legitimate interest / contract",model and alert logs 60 months,Data Science deploy/rollback; AI Governance review,rollback if performance drops >10% or fairness gap exceeds limit,model card + monitoring + rollback log,100% alerts ack <=1 business day,weekly report + quarterly restore drill,Data Science,Alta,proposed
GOV-012,03-corrected-csv/11_Governanca_LGPD/11_Governanca_LGPD.csv,25,"Humano no loop",high-impact review,protect rights in consequential decisions,"legal obligation / legitimate interest",decision audit 60 months,Process Owner queue; reviewer independent,100% high-impact decisions reviewed before adverse action,audit log + rationale,0 unreviewed adverse actions,monthly eligible-decision denominator,Process Owner,Crítica,proposed
