Visões e dashboards da plataforma
,
Cada visão começa por uma decisão; o KPI só entra se mudar uma ação.
,
Visão,Usuário,Pergunta central,KPIs primários,KPIs de diagnóstico,Filtros padrão,Alertas,Ações possíveis,Cadência,Permissão
Executiva HUB,CEO / Conselho,"Onde a HUB cria valor, margem e escala?","ARR, MRR, NRR, margem, ROI cliente, LTV/CAC","adoção, time-to-value, pipeline, churn","vertente, produto, cliente, cohort",ROI negativo; churn; margem abaixo do piso,"priorizar produto, preço, carteira e investimento",Mensal,Agregado financeiro
Executiva cliente,CFO / patrocinador,Qual valor financeiro foi provado?,"benefício bruto/líquido, ROI, payback, margem, saving, risco","cobertura, evidência, atribuição","programa, unidade, período, cenário",benefício abaixo do business case,"escalar, corrigir ou interromper",Trimestral,Dados do próprio cliente
Pessoas / RH,CHRO / People Analytics,Que decisão sobre pessoas melhora resultado?,"produtividade, retenção, time-to-fill, qualidade da contratação","prontidão, gap, jornada, cohort","função, gestor, unidade, local",gap crítico; risco de saída; baixa eficácia,"recomendar jornada, mobilidade ou contratação",Mensal,Dados pessoais pseudonimizados
Compras,CPO / procurement,Como ampliar oferta e reduzir custo/risco?,"saving, ciclo, conversão, desempenho, risco","cobertura, elegibilidade, homologação","categoria, região, contrato, fornecedor",categoria sem oferta; SLA; risco alto,"abrir conexão, desenvolver ou substituir oferta",Mensal,Compras e contratos
Marketing / RevOps,CMO / vendas,Qual mídia e conteúdo criam margem?,"margem incremental, pipeline, CAC, ROAS","alcance qualificado, CPL, conteúdo→ação","canal, campanha, produto, segmento",CAC alto; queda de conversão,"redistribuir verba, mudar oferta ou mensagem",Semanal,CRM e mídia
Entidade / Firjan,Direção da entidade,Que valor o ecossistema entrega aos associados?,"ativação, renovação, valor por associado, impacto econômico","cobertura, densidade, benchmark","setor, região, porte, serviço",segmento com baixa ativação/renovação,"criar programa, conexão ou serviço",Mensal,Agregado e anonimizado
Operação de programas,PMO / consultoria,A ação está no ritmo e produz outcome?,"conclusão, evolução, custo por outcome, satisfação","convite, presença, dose, SLA","programa, etapa, cohort, owner",desvio de meta ou prazo,corrigir desenho e acompanhamento,Semanal,Programa específico
Pessoa,Participante,Qual próximo passo aumenta minha capacidade e oportunidades?,"prontidão, progresso, matches, outcomes","evidências, lacunas, ações","objetivo, competência, prazo",evidência vencendo; ação pendente,aceitar recomendação e registrar evidência,Tempo real,Somente dados do titular
Fornecedor / solução,Parceiro,Onde existe demanda compatível e como melhorar meu fit?,"matches, conversão, contratos, desempenho","cobertura, requisitos, homologação","categoria, região, estágio",documento vencido; oportunidade crítica,"atualizar capacidade, responder ou desenvolver",Tempo real,Somente dados próprios
Governança / IA,DPO / Data / Auditoria,"Os dados e modelos são confiáveis, legais e justos?","qualidade, consentimento, fairness, drift, confiança","SLA, linhagem, incidentes","domínio, fonte, modelo, grupo","violação de SLA, viés, consentimento","bloquear, corrigir, reprocessar, auditar",Diária,Acesso restrito
