record_type,source_sheet,source_id_or_name,canonical_key,internal_mapping,external_mapping,identity_and_idempotency,schema_and_occurrence,ingestion_and_provenance,auth_sla_retry_quarantine_reconciliation,governance_traceability,decision,status,correction_issue_id
event,09_Eventos_Produto,account_created,event_id,person_id|company_id,CRM.person_external_id|company_external_id,event_id required; idempotent,event_name object properties; occurred_at UTC,SDK event_id + source_system + ingested_at,token/mTLS; real-time <5m; replay; quarantine,consent_version|source,unchanged,verified,
event,09_Eventos_Produto,profile_completed,event_id,person_id,HRIS.person_external_id,event_id required; dedupe by person/version,profile properties; occurred_at UTC,SDK + profile_version,token; <5m; retry idempotent; reconciliation,consent_version,unchanged,verified,
event,09_Eventos_Produto,assessment_started,event_id,assessment_id + person_id,Platform.assessment_id,event_id required; dedupe assessment,assessment schema/version; occurred_at UTC,Platform + instrument_version,OAuth2; <5m; retry; quarantine,consent_id|instrument_version,unchanged,verified,
event,09_Eventos_Produto,assessment_completed,event_id,assessment_id + person_id,Platform.assessment_id,event_id required; dedupe assessment/version,score/dimensions/version; occurred_at UTC,Platform + evidence_id,OAuth2; <5m; retry + reconciliation,consent_id|instrument_version,unchanged,verified,
event,09_Eventos_Produto,recommendation_viewed,event_id,recommendation_id + person_id,Platform.recommendation_id,event_id required; dedupe event_id,model_version/rank/explanation; occurred_at UTC,Platform + model_version_id,token; <5m; replay; quarantine,model_version_id|consent_id,unchanged,verified,
event,09_Eventos_Produto,recommendation_accepted,event_id,recommendation_id + person_id,Platform.recommendation_id,event_id required; dedupe acceptance,event properties type/rank/model; occurred_at UTC,Platform + recommendation_id,token; <5m; retry idempotent; reconcile,model_version_id|consent_id,unchanged,verified,
event,09_Eventos_Produto,journey_started,event_id,journey_id + person_id,LMS.journey_id,event_id required; dedupe person/journey start,goal/version/origin; occurred_at UTC,LMS xAPI + journey_version,OAuth2; <5m; retry; DLQ,consent_id|version,unchanged,verified,
event,09_Eventos_Produto,journey_step_completed,event_id,journey_id + step_id + person_id,LMS.journey_id|step_id,event_id required; dedupe journey/step,journey_id/step_id/evidence; ordered occurred_at UTC,LMS xAPI + evidence_id,OAuth2; <5m; retry; DLQ + reconcile,consent_id|evidence_id,unchanged,verified,
event,09_Eventos_Produto,journey_completed,event_id,journey_id + person_id,LMS.journey_id,event_id required; dedupe completion,expected outcome/duration; occurred_at UTC,LMS + outcome_id,OAuth2; <5m; retry + reconcile,consent_id|outcome_id,unchanged,verified,
event,09_Eventos_Produto,opportunity_created,event_id,opportunity_id + company_id,ATS/CRM.opportunity_id,event_id required; dedupe opportunity,requirements/value/deadline; occurred_at UTC,CRM/ATS + source_system,OAuth2; 15m; retry idempotent; reconcile,owner|source,unchanged,verified,
event,09_Eventos_Produto,match_generated,event_id,match_id + model_version_id,Matching.match_id,event_id required; unique match/version,score/model/rank/criteria; occurred_at UTC,matching log + features_hash,mTLS; <2s; retry; quarantine + reconcile,model_version_id|criteria,unchanged,verified,
event,09_Eventos_Produto,match_viewed,event_id,match_id + actor_id,Matching.match_id,event_id required; dedupe event_id,rank/channel; occurred_at UTC,SDK + session_id,token; <5m; replay; quarantine,consent_id,unchanged,verified,
event,09_Eventos_Produto,match_accepted,event_id,match_id + actor_id,Matching.match_id,event_id required; one acceptance/side,side/score/response_time; occurred_at UTC,SDK + match_id,token; <5m; retry idempotent; reconcile,consent_id|model_version_id,unchanged,verified,
event,09_Eventos_Produto,connection_completed,event_id,match_id + participants,CRM.connection_id,event_id required; dedupe connection,participants/timestamp; occurred_at UTC,CRM + match_id,OAuth2; 15m; retry + reconcile,consent_id,unchanged,verified,
event,09_Eventos_Produto,proposal_submitted,event_id,opportunity_id + supplier_id,ATS/CRM.opportunity_id|SRM.supplier_id,event_id required; dedupe supplier/opportunity/date,match/amount/date/currency; occurred_at UTC,CRM/SRM + source_system,OAuth2/SFTP; D+1; retry; quarantine + reconcile,owner|eligibility_rule,unchanged,verified,
event,09_Eventos_Produto,contract_signed,event_id,contract_id + company_id,CRM/ERP.contract_id,event_id required; one signed transition,origin/value/margin/date; occurred_at UTC,CRM + ERP reconciliation_id,OAuth2; 15m/D+1; retry + reconcile,owner|touchpoint_id,unchanged,verified,
event,09_Eventos_Produto,transaction_recognized,event_id,transaction_id + contract_id,ERP.transaction_id,event_id required; dedupe transaction/competence,contract/amount/type/competence; occurred_at UTC,ERP + reconciliation_id,OAuth2/SFTP; D+1; retry + accounting reconciliation,contract_id|reconciliation_id,unchanged,verified,
event,09_Eventos_Produto,business_metric_received,event_id,metric_id + company_id + period,BI.metric_id|company_id,event_id required; unique metric/company/period,metric/period/value/baseline; occurred_at UTC,BI + definition_version,private link; D+5; quarantine + semantic reconciliation,owner|definition_version,unchanged,verified,
event,09_Eventos_Produto,outcome_confirmed,event_id,outcome_id + subject_id,HRIS/Survey.outcome_id,event_id required; dedupe outcome/version,type/value/evidence/period; occurred_at UTC,Survey + evidence_id,OAuth2; D+5; retry + reconcile,consent_id|evidence_id,unchanged,verified,
event,09_Eventos_Produto,financial_value_approved,event_id,financial_value_id + company_id,Finance.financial_value_id,event_id required; one approval/version,lever/formula/attribution/evidence; occurred_at UTC,Finance + formula_version,OAuth2; D+1; retry + controladoria reconciliation,owner|formula_version,unchanged,verified,
event,09_Eventos_Produto,benchmark_viewed,event_id,benchmark_id + company_id,BI.benchmark_id,event_id required; dedupe event_id,segment/metric/percentile; occurred_at UTC,SDK + cohort_id,token; <5m; replay; quarantine,anonymization_rule|cohort_id,unchanged,verified,
event,09_Eventos_Produto,benchmark_action_taken,event_id,benchmark_id + company_id,BI.benchmark_id,event_id required; dedupe action/benchmark,action/target/due_date; occurred_at UTC,CRM + benchmark_id,OAuth2; 15m; retry + reconcile,owner|cohort_id,unchanged,verified,
event,09_Eventos_Produto,content_exposed,event_id,content_id + actor_id,Media.campaign_id|UTM,event_id required; cross-channel dedupe, campaign/channel/audience/cost; occurred_at UTC,Media + UTM,OAuth2; D+1; dedupe + reconcile,consent_id|utm,unchanged,verified,
event,09_Eventos_Produto,content_action,event_id,content_id + session_id,Media.campaign_id|UTM,event_id required; dedupe session/action, campaign/action/session; occurred_at UTC,Media + UTM,OAuth2; D+1; dedupe + reconcile,consent_id|attribution_model,unchanged,verified,
event,09_Eventos_Produto,consent_updated,event_id,consent_id + person_id,CMP.consent_id,event_id required; dedupe consent/version,purpose/status/version/timestamp; occurred_at UTC,CMP + legal_basis,OAuth2; <5m; retry; preventive block + reconcile,legal_basis|purpose|version,unchanged,verified,
