record_type,source_sheet,source_id,source_name,canonical_name,canonical_key,aliases,internal_mapping,external_mapping,cardinality,temporal_requirement,governance_traceability,decision,status,correction_issue_id
entity,02_Nos_de_Dados,N01,Pessoa,Pessoa,person_id,pessoa|person,dim_person.person_id,HRIS.person_external_id,1:1,valid_from/valid_to for relationships,consent_id|source_system,unchanged,verified,
entity,02_Nos_de_Dados,N02,Empresa,Empresa,company_id,empresa|company|organization,dim_company.company_id,CRM.company_external_id,1:1,active company identity,contract_id|source_system,unchanged,verified,
entity,02_Nos_de_Dados,N03,Entidade,Entidade,entity_id,entidade|network|association,dim_entity.entity_id,Associates.entity_external_id,1:1,active association identity,consent_id where applicable,unchanged,verified,
entity,02_Nos_de_Dados,N04,Fornecedor / solução,Fornecedor / solução,supplier_id,fornecedor|supplier|solution,dim_supplier.supplier_id,SRM.supplier_external_id,1:1,valid supplier status,contract_id|homologation,unchanged,verified,
entity,02_Nos_de_Dados,N05,Vínculo,Vínculo,relationship_id,vinculo|relationship,bridge_person_company.relationship_id,HRIS.relationship_external_id,1:N over time,valid_from <= valid_to; no incompatible overlap,consent_id|source_system,unchanged,verified,
entity,02_Nos_de_Dados,N06,Oportunidade,Oportunidade,opportunity_id,oportunidade|opportunity, fact_opportunity.opportunity_id,ATS/CRM.opportunity_id,1:N submissions,deadline and stage transition timestamps,contract_id|touchpoint_id,unchanged,verified,
entity,02_Nos_de_Dados,N07,Competência,Competência,skill_id,competencia|skill,dim_skill.skill_id,Taxonomy.skill_external_id,1:N assessments,skill_version immutable after use,assessment_id|model_version_id,unchanged,verified,
entity,02_Nos_de_Dados,N08,Evidência de competência,Evidência de competência,evidence_id,evidencia|evidence, fact_evidence.evidence_id,Assessment.evidence_external_id,1:N per skill,issued_at and valid_until,consent_id|issuer,unchanged,verified,
entity,02_Nos_de_Dados,N09,Diagnóstico,Diagnóstico,assessment_id,diagnostico|assessment, fact_assessment.assessment_id,Platform.assessment_id,1:N dimensions,occurred_at and instrument_version,consent_id|instrument_version,unchanged,verified,
entity,02_Nos_de_Dados,N10,Interação,Interação,event_id,interacao|interaction|event, fact_event.event_id,SDK.event_id,1:N per actor/object,occurred_at UTC and ingested_at,consent_id|source_system,unchanged,verified,
entity,02_Nos_de_Dados,N11,Jornada,Jornada,journey_id,jornada|journey,LMS.journey_id, LMS.journey_external_id,1:N steps,started_at/completed_at,consent_id|version,unchanged,verified,
entity,02_Nos_de_Dados,N12,Recomendação,Recomendação,recommendation_id,recomendacao|recommendation, fact_recommendation.recommendation_id,Platform.recommendation_id,1:N events,generated_at/expires_at,model_version_id|explanation,unchanged,verified,
entity,02_Nos_de_Dados,N13,Match,Match,match_id,match|compatibility, fact_match.match_id,Matching.match_id,1:N events per model version,generated_at/decided_at,model_version_id|criteria,unchanged,verified,
entity,02_Nos_de_Dados,N14,Participação,Participação,participation_id,participacao|participation, fact_participation.participation_id,Events.participation_id,1:N doses/events,exposure_at and completion_at,consent_id|program_id,unchanged,verified,
entity,02_Nos_de_Dados,N15,Programa / projeto,Programa / projeto,program_id,programa|projeto|program|project,dim_program.program_id,PMO.program_external_id,1:N participants,active_from/active_to,owner|consent_id,unchanged,verified,
entity,02_Nos_de_Dados,N16,Contrato,Contrato,contract_id,contrato|contract, fact_contract.contract_id,CRM/ERP.contract_id,1:N transactions,valid_from/valid_to,origin_touchpoint|owner,unchanged,verified,
entity,02_Nos_de_Dados,N17,Transação,Transação,transaction_id,transacao|transaction, fact_transaction.transaction_id,ERP.transaction_id,1:N lines,competence date and recognized_at,contract_id|reconciliation_id,unchanged,verified,
