correction_id,source_csv,source_row,source_column,original_value,corrected_value,dependency_or_accountability_rule,evidence,owner,severity,status
RACI-001,03-corrected-csv/12_Roadmap/12_Roadmap.csv,6,"Indicadores;Critério",“ARR in M0; vague exit”,“operational metrics only; >=95% events for 14 days and 100% KPI certification”,M0 financial metrics require certified source,M0 exit report + certification manifest,Financeiro HUB,Crítica,proposed
RACI-002,03-corrected-csv/12_Roadmap/12_Roadmap.csv,6-10,Critério,qualitative exits,objective threshold/window/population/evidence on every phase,phase scorecard requires measurable denominator,phase scorecard + gate decision,Metric Owner,Alta,proposed
RACI-003,03-corrected-csv/12_Roadmap/12_Roadmap.csv,7,"Fase;Dados",generic M1 dependencies,M1 depends on M0 identity/consent/event contracts,dependency order enforced,integration readiness + dependency matrix,Data Eng.,Alta,proposed
RACI-004,03-corrected-csv/12_Roadmap/12_Roadmap.csv,8,Critério,>70% value unspecified denominator,>=70% approved 90-day value cases quasi-experimental; 100% sign-off,only published approved value counted,value register + sign-off,Financeiro HUB,Crítica,proposed
RACI-005,03-corrected-csv/12_Roadmap/12_Roadmap.csv,9,Critério,model passes fairness,>=10% lift vs rule and fairness gap <=5pp in 30-day holdout,pre-registered population/window,model evaluation + fairness report,Data Science,Crítica,proposed
RACI-006,03-corrected-csv/12_Roadmap/12_Roadmap.csv,10,Critério,sustainable economics,12-week cohort positive margin and retention >= baseline,active contracted entities denominator,unit economics report + gate decision,HUB + Entidades,Alta,proposed
RACI-007,03-corrected-csv/14_RACI/14_RACI.csv,5,Owner do processo,free-text ownership,exactly one primary accountable owner per critical activity,RACI cardinality check,signed matrix,CEO HUB,Crítica,proposed
RACI-008,03-corrected-csv/14_RACI/14_RACI.csv,7-18,Atividade,"missing controls","add KPI certification retention versioning incidents exceptions rollback publication gates","control register crosswalk","control register crosswalk","Data Governance",Crítica,proposed
RACI-009,03-corrected-csv/14_RACI/14_RACI.csv,8,Instrumentar eventos,Produto A/R and Data Eng R,Produto sole A and Data Eng R,contract review + sign-off,owner matrix,Produto,Alta,proposed
RACI-010,03-corrected-csv/14_RACI/14_RACI.csv,17,Monitorar modelo,Data Science A/R and Security A/C,Data Science sole A; Security C,rollback drill + monitoring runbook,monitoring evidence,Data Science,Alta,proposed
RACI-011,03-corrected-csv/10_Integracoes/10_Integracoes.csv,5-20,Fase/SLA/error,"unlinked integration gates","each integration has dependency SLA quarantine retry reconciliation","readiness checklist + incident log","readiness checklist + incident log","Data Eng.",Alta,proposed
RACI-012,03-corrected-csv/14_RACI/14_RACI.csv,16,Publicar dashboard,"A/R ambiguous","Analytics A; Produto R; Metric Owner certifies","certification manifest + release checklist","certification manifest + release checklist",Analytics,Crítica,proposed
