Taxonomia de eventos do produto
,
"Eventos padronizados permitem medir funil, adoção, recomendação e valor sem ambiguidade."
,
Evento,Quando dispara,Objeto,Propriedades obrigatórias,Pessoa/empresa,Etapa do funil,Indicadores,Valor esperado,PII,Retenção,Regra de QA,Schema version,Ingestion timestamp,Idempotency key,Provenance
account_created,cadastro concluído,person/company,"source, persona, consent_version",person_id/company_id,Aquisição,"novos cadastros, CAC",entrada no funil,Sim,24 meses,idempotente,,v1,ingested_at (UTC),event_id + account_created + object_id,source system + contract version + ingestion log
profile_completed,campos mínimos válidos,profile,"completion_rate, missing_fields",person_id,Ativação,"completude, ativação",habilita diagnóstico/match,Sim,24 meses,completion_rate 0–1,,v1,ingested_at (UTC),event_id + profile_completed + object_id,source system + contract version + ingestion log
assessment_started,primeira resposta,assessment,"instrument_version, context",person_id/company_id,Ativação,início de diagnóstico,gera baseline,Sim,36 meses,instrumento existente,,v1,ingested_at (UTC),event_id + assessment_started + object_id,source system + contract version + ingestion log
assessment_completed,última resposta validada,assessment,"score, dimensions, version",person_id/company_id,Ativação,"conclusão, prontidão",habilita recomendação,Sim,36 meses,score dentro da faixa,,v1,ingested_at (UTC),event_id + assessment_completed + object_id,source system + contract version + ingestion log
recommendation_viewed,recomendação exibida,recommendation,"model_version, rank, explanation",person_id/company_id,Engajamento,CTR de recomendação,sinal de interesse,Sim,24 meses,versão registrada,,v1,ingested_at (UTC),event_id + recommendation_viewed + object_id,source system + contract version + ingestion log
recommendation_accepted,usuário confirma ação,recommendation,"type, rank, model_version",person_id/company_id,Conversão,"aceitação, uplift",inicia ação,Sim,36 meses,recomendação válida,,v1,ingested_at (UTC),event_id + recommendation_accepted + object_id,source system + contract version + ingestion log
journey_started,primeira etapa iniciada,journey,"goal, version, origin",person_id,Engajamento,"início, time-to-value",exposição,Sim,36 meses,origin registrado,,v1,ingested_at (UTC),event_id + journey_started + object_id,source system + contract version + ingestion log
journey_step_completed,etapa validada,journey_step,"journey_id, step_id, evidence",person_id,Engajamento,"progresso, drop-off",dose da ação,Sim,36 meses,ordem e timestamp válidos,,v1,ingested_at (UTC),event_id + journey_step_completed + object_id,source system + contract version + ingestion log
journey_completed,critério de conclusão,journey,"outcome_expected, duration",person_id,Conversão,"conclusão, evolução",habilita pós-medição,Sim,36 meses,todas etapas obrigatórias,,v1,ingested_at (UTC),event_id + journey_completed + object_id,source system + contract version + ingestion log
opportunity_created,demanda publicada,opportunity,"type, requirements, value, deadline",company_id,Aquisição,"pipeline, cobertura",demanda monetizável,Não,60 meses,requisitos estruturados,,v1,ingested_at (UTC),event_id + opportunity_created + object_id,source system + contract version + ingestion log
match_generated,motor conclui ranking,match,"score, model_version, rank, criteria",company_id/person_id,Engajamento,"precisão, cobertura",reduz busca,Possível,36 meses,modelo e explicação,,v1,ingested_at (UTC),event_id + match_generated + object_id,source system + contract version + ingestion log
match_viewed,match é visualizado,match,"rank, channel",person_id/company_id,Engajamento,CTR de match,sinal de qualidade,Possível,36 meses,rank consistente,,v1,ingested_at (UTC),event_id + match_viewed + object_id,source system + contract version + ingestion log
match_accepted,parte aceita conexão,match,"side, score, response_time",person_id/company_id,Conversão,"aceitação, ciclo",leva a contato,Possível,60 meses,lado registrado,,v1,ingested_at (UTC),event_id + match_accepted + object_id,source system + contract version + ingestion log
connection_completed,duas partes conectadas,connection,"match_id, participants, timestamp",person_id/company_id,Conversão,conexões efetivas,resultado intermediário,Sim,60 meses,partes válidas,,v1,ingested_at (UTC),event_id + connection_completed + object_id,source system + contract version + ingestion log
proposal_submitted,proposta enviada,opportunity,"match_id, amount, date",supplier_id,Conversão,"propostas, GMV",pipeline,Não,60 meses,moeda e valor,,v1,ingested_at (UTC),event_id + proposal_submitted + object_id,source system + contract version + ingestion log
contract_signed,contrato confirmado,contract,"origin, value, margin, date",company_id/supplier_id,Resultado,"conversão, receita, GMV",resultado financeiro,Não,120 meses,conciliado com CRM/ERP,,v1,ingested_at (UTC),event_id + contract_signed + object_id,source system + contract version + ingestion log
transaction_recognized,receita/custo reconhecido,transaction,"contract_id, amount, type, competence",company_id,Impacto,"MRR, ARR, GMV, margem",valor realizado,Não,120 meses,conciliação financeira,,v1,ingested_at (UTC),event_id + transaction_recognized + object_id,source system + contract version + ingestion log
business_metric_received,KPI importado,metric,"metric_id, period, value, baseline",company_id,Resultado,outcomes e impacto,prova de valor,Possível,120 meses,mesma definição e período,,v1,ingested_at (UTC),event_id + business_metric_received + object_id,source system + contract version + ingestion log
outcome_confirmed,owner confirma resultado,outcome,"type, value, evidence, period",person_id/company_id,Resultado,"qualidade, retenção, saving",resultado validado,Sim,120 meses,evidência anexada,,v1,ingested_at (UTC),event_id + outcome_confirmed + object_id,source system + contract version + ingestion log
financial_value_approved,controladoria aprova,financial_value,"lever, formula, attribution, evidence",company_id,Impacto,"benefício, ROI",valor monetizado,Não,120 meses,owner e versão da fórmula,,v1,ingested_at (UTC),event_id + financial_value_approved + object_id,source system + contract version + ingestion log
benchmark_viewed,benchmark consultado,benchmark,"segment, metric, percentile",company_id,Engajamento,adoção de inteligência,sinal de valor,Não,24 meses,amostra mínima,,v1,ingested_at (UTC),event_id + benchmark_viewed + object_id,source system + contract version + ingestion log
benchmark_action_taken,ação registrada após benchmark,benchmark,"action_type, target, due_date",company_id,Conversão,benchmark→ação,potencial outcome,Não,60 meses,vínculo com benchmark,,v1,ingested_at (UTC),event_id + benchmark_action_taken + object_id,source system + contract version + ingestion log
