Dicionário de dados mínimo
,
Campos necessários para instrumentar o mapa neural e os indicadores prioritários.
,
Tabela,Campo,Tipo,Definição,Chave,Obrigatório,Exemplo,Sensibilidade,Base legal / finalidade,Origem,Frequência,Regra de qualidade
dim_person,person_id,UUID,Identificador pseudônimo da pessoa.,PK,Sim,p_01...,Alta,Execução de contrato / consentimento conforme uso,Cadastro / HRIS,Tempo real,"único, não nulo e não reutilizado"
dim_person,company_id,UUID,Empresa do vínculo vigente.,FK,Não,c_01...,Alta,Execução do serviço,HRIS / CRM,Diária,existir em dim_company
dim_person,consent_status,enum,Status por finalidade de tratamento.,,Sim,granted,Crítica,Consentimento / obrigação legal,CMP,Tempo real,vigência e versão válidas
dim_person,profile_segment,string,Segmento operacional não sensível.,,Não,gestor,Média,Personalização,Cadastro,Diária,vocabulário controlado
dim_company,company_id,UUID,Identificador da organização.,PK,Sim,c_01...,Média,Execução do contrato,CRM,Diária,único e não nulo
dim_company,entity_id,UUID,Entidade à qual a empresa está associada.,FK,Não,e_01...,Média,Execução do serviço,CRM,Diária,vínculo vigente
dim_company,segment,enum,Setor/porte/cluster comercial.,,Sim,indústria_média,Baixa,Inteligência e serviço,CRM,Mensal,taxonomia versionada
dim_entity,entity_id,UUID,Identificador de entidade/rede.,PK,Sim,e_01...,Baixa,Execução do contrato,CRM,Diária,único
dim_skill,skill_id,UUID,Identificador de capacidade na taxonomia.,PK,Sim,sk_01...,Baixa,Inteligência,Taxonomia,Release,sem duplicidades semânticas
dim_skill,skill_version,string,Versão da taxonomia.,,Sim,v3.2,Baixa,Auditabilidade,Taxonomia,Release,imutável após uso
fact_person_skill,person_id,UUID,Pessoa avaliada.,FK,Sim,p_01...,Alta,Execução do serviço,Diagnóstico,Evento,consentimento aplicável
fact_person_skill,skill_id,UUID,Capacidade avaliada.,FK,Sim,sk_01...,Média,Execução do serviço,Diagnóstico,Evento,taxonomia válida
fact_person_skill,level,decimal,Nível padronizado.,,Sim,,Alta,Recomendação,Diagnóstico,Evento,0 a 5
fact_person_skill,confidence,decimal,Confiança baseada na evidência.,,Sim,,Média,Explicabilidade,Motor,Evento,0 a 1
fact_assessment,assessment_id,UUID,Rodada de diagnóstico.,PK,Sim,a_01...,Alta,Execução do serviço,Plataforma,Evento,único
fact_assessment,instrument_version,string,Versão do instrumento.,,Sim,roi_people_v2,Média,Auditabilidade,Plataforma,Evento,versão existente
