indicator_id,canonical_name,mvp_disposition,canonical_definition,source_fields,formula,unit,owner,frequency,evidence_method,evidence_level,financial_status,deduplication_rule,dashboard_surfaces,technical_identifier_status
PES-01,Completude do perfil,MVP,Percentual de campos essenciais válidos.,Pessoa + consentimento,campos essenciais preenchidos / campos essenciais esperados,%,Produto,Diária,descriptive trend; no causal value without comparator,Descritivo,unsupported_is_illustrative_only,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PES-02,Índice de prontidão,MVP,"Score ponderado de requisitos, evidências e recência.",Competência + evidência + oportunidade,Σ(nível × peso × confiança × recência) / Σ pesos,score 0–100,Inteligência,Evento,descriptive trend; no causal value without comparator,Descritivo,unsupported_is_illustrative_only,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PES-03,Gap crítico de capacidade,MVP,Peso dos requisitos não atendidos.,Competência + oportunidade,Σ pesos dos requisitos abaixo do nível mínimo,pontos,RH,Semanal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PES-04,Aceitação de recomendação,MVP,Recomendações aceitas no prazo.,Recomendação + evento,recomendações aceitas / recomendações entregues,%,Produto,Semanal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PES-05,Conclusão de jornada,MVP,Jornadas concluídas entre as iniciadas.,Jornada + eventos,jornadas concluídas / jornadas iniciadas,%,Produto / LMS,Semanal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PES-06,Evolução de capacidade,MVP,Variação padronizada pré e pós.,Diagnóstico + cohort,score pós − score pré,p.p. ou score,Inteligência,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PES-07,Tempo até oportunidade,MVP,Dias do cadastro/prontidão até primeira oportunidade aceita.,Pessoa + oportunidade + match,data oportunidade − data elegibilidade,dias,Operações,Mensal,correlation only; validate with comparable cohort before monetization,Correlação,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PES-08,Mobilidade / conexão efetiva,MVP,Pessoas com outcome confirmado após match.,Match + outcome,pessoas com outcome / pessoas com match aceito,%,Operações,Mensal,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PES-09,NPS da jornada,MVP,Net Promoter Score por jornada.,Pesquisa,% promotores − % detratores,NPS,CX,Mensal,descriptive trend; no causal value without comparator,Descritivo,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
PES-10,Valor gerado por pessoa,deferred_future,Benefício atribuído dividido pelo público elegível.,Outcomes + financeiro,benefício financeiro atribuído / pessoas impactadas,R$/pessoa,Financeiro,Trimestral,pre/post with matched comparator or difference-in-differences,Quase-experimental,eligible_after_evidence_gate,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
RH-01,Cobertura de capacidades,MVP,Pessoas ativas com taxonomia válida.,HRIS + competência,pessoas mapeadas / pessoas elegíveis,%,RH,Mensal,descriptive trend; no causal value without comparator,Descritivo,unsupported_is_illustrative_only,one canonical KPI per ID; one outcome per entity-period; do not sum overlapping financial effects,map by canonical ID; only MVP enters default dashboard,preserved_from_corrected_csv
