ESTIMATIVA DE BUILD POR TELA — 96 TELAS,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Horas são calculadas a partir da complexidade, disciplina e drivers específicos. A coluna 'Componente compartilhado' evita duplicar custo quando a mesma capacidade é reutilizada entre verticais.",,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Código,Frente,Tela,Fase,Complexidade,Componente compartilhado,Reuso %,Driver IA,Driver Dados,Driver Segurança,Driver Mobile,Mult. complex.,UX h,Front h,Back h,Dados h,IA h,QA h,DevOps h,Segurança h,Horas brutas,Horas líquidas,Custo build R$,Gestão/arquitetura R$,Contingência R$,CAPEX tela R$,Observação
1,CORE,Core / Plataforma,Login / SSO,MVP,Baixa,CORE compartilhado,0.8,Não,Não,Sim,Não,0.65,14.3,31.200000000000003,40.365,6.435000000000001,0.975,13,5.2,7.0200000000000005,118.495,23.698999999999995,5383.819999999999,646.0583999999998,904.4817599999998,6934.360159999998,Autenticação
2,CORE,Core / Plataforma,Cadastro / onboarding,MVP,Média,CORE compartilhado,0.8,Não,Não,Sim,Sim,1,22,60,62.099999999999994,9.9,1.5,22,8,10.8,196.3,39.25999999999999,8878.799999999997,1065.4559999999997,1491.6383999999996,11435.894399999997,Entrada por tipo
3,CORE,Core / Plataforma,Perfis e organizações,MVP,Média,CORE compartilhado,0.8,Não,Não,Sim,Não,1,22,48,62.099999999999994,9.9,1.5,20,8,10.8,182.3,36.459999999999994,8282.799999999997,993.9359999999997,1391.5103999999994,10668.246399999996,Entidades
4,CORE,Core / Plataforma,Papéis e permissões,MVP,Alta,CORE compartilhado,0.8,Não,Não,Sim,Não,1.55,34.1,74.4,96.255,15.345000000000002,2.3249999999999997,31,12.4,16.740000000000002,282.565,56.512999999999984,12838.339999999997,1540.6007999999995,2156.8411199999996,16535.781919999998,RBAC
5,CORE,Core / Plataforma,Consentimentos / LGPD,MVP,Alta,CORE compartilhado,0.8,Não,Não,Sim,Não,1.55,34.1,74.4,96.255,15.345000000000002,2.3249999999999997,31,12.4,16.740000000000002,282.565,56.512999999999984,12838.339999999997,1540.6007999999995,2156.8411199999996,16535.781919999998,Privacidade
6,CORE,Core / Plataforma,Central de integrações,MVP,Alta,CORE compartilhado,0.8,Não,Não,Sim,Não,1.55,34.1,74.4,96.255,15.345000000000002,2.3249999999999997,31,12.4,16.740000000000002,282.565,56.512999999999984,12838.339999999997,1540.6007999999995,2156.8411199999996,16535.781919999998,APIs/RHIS/ERP/CRM/LMS
7,CORE,Core / Plataforma,Notificações,MVP,Média,CORE compartilhado,0.8,Não,Não,Sim,Sim,1,22,60,62.099999999999994,9.9,1.5,22,8,10.8,196.3,39.25999999999999,8878.799999999997,1065.4559999999997,1491.6383999999996,11435.894399999997,Gatilhos
8,CORE,Core / Plataforma,Mensagens,Fase 2,Alta,CORE compartilhado,0.8,Não,Não,Sim,Sim,1.55,34.1,93,96.255,15.345000000000002,2.3249999999999997,34.1,12.4,16.740000000000002,304.265,54.767699999999984,12385.925999999996,1486.3111199999994,2080.835567999999,15953.072687999993,Conversas
9,CORE,Core / Plataforma,Busca global,Fase 2,Média,CORE compartilhado,0.8,Não,Não,Sim,Não,1,22,48,62.099999999999994,9.9,1.5,20,8,10.8,182.3,32.81399999999999,7454.519999999998,894.5423999999997,1252.3593599999995,9601.421759999997,Busca
10,CORE,Core / Plataforma,Analytics de uso,MVP,Média,CORE compartilhado,0.8,Não,Sim,Sim,Não,1,22,48,62.099999999999994,28.8,1.5,20,9.2,10.8,202.4,40.47999999999999,9327.999999999998,1119.3599999999997,1567.1039999999996,12014.463999999996,Adoção
