issue_id,source_csv,source_row,source_column,category,original_value,corrected_value,evidence,dependency_impact,severity,status,reviewer,approved_at
CORR-REG-001-08,03-corrected-csv/08_Dicionario_Dados/08_Dicionario_Dados.csv,6-46,Retenção,approval-gate remediation,blank retention cells,purpose-specific TTL per data class,"governance-control-register GOV-001/GOV-003/GOV-007; policy contract defined, production deletion logs pending",dictionary retention enables governance and deletion controls,critical,pending_validation,Phase 6 validator,
CORR-REG-001-09,03-corrected-csv/09_Eventos_Produto/09_Eventos_Produto.csv,6-32,Schema version;Ingestion timestamp;Idempotency key;Provenance,approval-gate remediation,blank operational metadata on 25 rows,v1; ingested_at UTC; deterministic event/object key; source+contract+ingestion lineage,"event-integration-crosswalk.csv; contract metadata populated, JSON schema/E2E evidence pending",events feed integration and KPI publication gates,critical,pending_validation,Phase 6 validator,
CORR-REG-001-10,03-corrected-csv/10_Integracoes/10_Integracoes.csv,6-20,Dependency gate;Publication evidence,approval-gate remediation,blank dependency/publication metadata on 12 rows,readiness contract; checklist/reconciliation/publication gate log,event-integration-crosswalk.csv; readiness artifacts pending execution,integration dependencies block publication,critical,pending_validation,Phase 6 validator,
CORR-REG-001-11,03-corrected-csv/11_Governanca_LGPD/11_Governanca_LGPD.csv,6-28,Limiar objetivo;Janela/população;Teste e gate,approval-gate remediation,blank governance fields on 17 rows,"explicit control threshold, population window, and test procedure",governance-control-register.csv; control evidence execution pending,governance controls gate publication,critical,pending_validation,Phase 6 validator,
CORR-REG-001-12,03-corrected-csv/12_Roadmap/12_Roadmap.csv,6-10,Critério de saída;Denominador/janela/população;Limiar;evidência de saída,approval-gate remediation,proposed roadmap controls,measurable phase exits retained; approval awaits gate evidence,roadmap-raci-register RACI-001..006; status remains proposed,roadmap gates depend on certified evidence,high,pending_approval,Phase 6 validator,
CORR-REG-001-14,03-corrected-csv/14_RACI/14_RACI.csv,6-25,Primary A;Observação,approval-gate remediation,proposed accountability corrections,single accountable owner and publication/control responsibilities retained,roadmap-raci-register RACI-007..012; signed matrix pending,RACI controls downstream execution and approval,high,pending_approval,Phase 6 validator,
CORR-REG-002,03-corrected-csv/09_Eventos_Produto/09_Eventos_Produto.csv;03-corrected-csv/10_Integracoes/10_Integracoes.csv,6-32;6-20,operational metadata,approval-gate remediation,blank fields,contract metadata completed,crosswalks and contract fields; operational test evidence pending,integration/publication dependencies,critical,pending_validation,Phase 6 validator,
CORR-REG-003,03-corrected-csv/08_Dicionario_Dados/08_Dicionario_Dados.csv;03-corrected-csv/11_Governanca_LGPD/11_Governanca_LGPD.csv,6-46;6-28,retention and governance evidence,approval-gate remediation,blank fields,retention and control thresholds/tests completed as contracts,governance register; deletion/access evidence pending,privacy and publication gates,critical,pending_validation,Phase 6 validator,
CORR-REG-004,03-corrected-csv/06_Simulador_ROI/06_Simulador_ROI.csv,6-29,ROI assumptions,approval-gate remediation,illustrative assumptions,illustrative only; no financial claim certified,"roi-assumption-register.csv: 24/24 illustrative, zero evidence-certified",financial publication remains blocked pending client sign-off,high,open_illustrative,Phase 6 validator,
CORR-REG-005,03-corrected-csv/12_Roadmap/12_Roadmap.csv;03-corrected-csv/14_RACI/14_RACI.csv,6-25,roadmap/RACI approval,approval-gate remediation,proposed records,not promoted; retain proposed until evidence/status supports approval,roadmap-raci-register.csv RACI-001..012 remain proposed,approval gate remains closed,critical,pending_approval,Phase 6 validator,
