PREMISSAS PARA DIMENSIONAMENTO DE CUSTO,,,,,,,
Premissas iniciais editáveis. Não são orçamento de fornecedor: servem para transformar as 96 telas do escopo em uma primeira ordem de grandeza e depois calibrar com cotações reais.,,,,,,,
Complexidade da tela,Multiplicador,Uso,,Premissa geral,Valor,,
Baixa,0.65,Tela simples / leitura / formulário básico,,Contingência desenvolvimento,0.15,,
Média,1,Fluxo padrão,,Gestão/arquitetura sobre build,0.12,,
Alta,1.55,"Regras, integrações ou visualizações complexas",,Meses de construção,9,,
Muito alta,2.2,"Matching, analytics avançado, simulação ou lógica intensa",,Meses de operação/ano,12,,
,,,,Fator Fase 2 vs. MVP,0.9,,
,,,,Reuso parcial de tela,0.55,,
Disciplina,Horas base / tela média,Rate R$/h,Mensalidade base R$,Driver mensal,Observação,,
UX/UI,22,180,0,Build,"Pesquisa, fluxo, wireframe, design e handoff",,
Front-end,48,220,0,Build,Web responsivo; mobile dedicado é driver adicional,,
Back-end,54,240,0,Build,"APIs, regras e persistência",,
Dados/BI,18,260,0,Build,"Modelagem, indicadores e pipelines leves",,
IA/Matching,10,320,0,Build,Aplicado apenas quando a tela tem driver de IA,,
QA,20,170,0,Build,"Testes funcionais, regressão e automação gradual",,
DevOps,8,260,0,Build,"CI/CD, ambientes e observabilidade",,
Segurança,6,320,0,Build,"Threat modeling, hardening e revisão",,
Custo mensal recorrente,Base R$/mês,Escala,Observação,,,,
Cloud / infraestrutura,18000,1,"Ambientes, banco, storage, observabilidade; recalibrar por volume",,,,
Dados / pipelines / BI,14000,1,"Orquestração, processamento e monitoramento",,,,
IA / modelos / APIs,12000,1,Uso variável; depende de volume e arquitetura,,,,
DevOps / SRE,22000,1,Sustentação de plataforma,,,,
Segurança / compliance,14000,1,"Monitoramento, scans, LGPD e auditoria",,,,
QA / releases,16000,1,Regressão e qualidade contínua,,,,
Produto / operação técnica,28000,1,"Gestão de backlog, incidentes e evolução",,,,
Suporte / CS técnico,18000,1,Atendimento B2B e operação,,,,
