Conexões do mapa neural
,
"As relações são temporais, direcionais e auditáveis; são elas que permitem explicar valor."
,
ID,Nó origem,Relação,Nó destino,Direção,Peso / score,Janela temporal,Evidência,Indicadores derivados,Uso de negócio,Regra de qualidade
E01,Pessoa,possui vínculo com,Empresa,Pessoa → Empresa,papel / FTE,vigência,HRIS,"headcount, retenção, custo",segmentar outcomes por empresa,sem sobreposição de vínculos ativos incompatíveis
E02,Empresa,é associada a,Entidade,Empresa → Entidade,status / tier,vigência,CRM,"adesão, renovação, valor por associado",medir valor entregue pela entidade,vigência e situação contratual válidas
E03,Pessoa,demonstra,Competência,Pessoa → Competência,nível + confiança,validade,Evidência,"prontidão, gap, mobilidade",recomendar oportunidades e jornadas,score com fonte e data
E04,Oportunidade,requer,Competência,Oportunidade → Competência,peso do requisito,até fechamento,Descrição estruturada,"fit, cobertura de requisitos",matching explicável,taxonomia compatível
E05,Pessoa,recebe,Recomendação,Pessoa → Recomendação,propensão,7–30 dias,Modelo/regra,"aceitação, uplift",next best action,versão do modelo registrada
E06,Recomendação,propõe,Jornada,Recomendação → Jornada,prioridade,janela sugerida,Motor,conversão e time-to-value,orquestrar desenvolvimento,explicação disponível
E07,Pessoa,participa de,Programa / projeto,Pessoa → Programa,dose / presença,data e duração,Participação,"alcance, conclusão, efeito",atribuição por exposição,deduplicação por evento
E08,Programa / projeto,altera,Outcome individual,Programa → Outcome,efeito estimado,pré / pós,Análise,"uplift, variação",provar eficácia,baseline comparável
E09,Outcome individual,contribui para,Indicador de negócio,Outcome → KPI,elasticidade,1–12 meses,Modelo causal,"produtividade, retenção",monetização,não declarar causalidade sem método
E10,Fornecedor / solução,responde a,Oportunidade,Fornecedor → Oportunidade,fit / elegibilidade,até fechamento,Match,"ciclo, conversão, GMV",compras e marketplace,requisitos obrigatórios atendidos
E11,Match,gera,Contrato,Match → Contrato,atribuição,até 180 dias,CRM / Compras,"receita influenciada, take rate",provar conversão da rede,origem e touchpoints registrados
E12,Contrato,gera,Transação,Contrato → Transação,valor reconhecido,competência,ERP,"receita, margem, MRR",unit economics,conciliação financeira
E13,Conteúdo / campanha,influencia,Oportunidade,Campanha → Oportunidade,modelo de atribuição,30–180 dias,UTM / CRM,"pipeline, CAC, ROAS",mídia de conversão,janela e modelo explícitos
E14,Diagnóstico,identifica,Risco / controle,Diagnóstico → Risco,severidade,até revisão,Instrumento,"exposição, risco residual",priorizar mitigação,instrumento versionado
E15,Risco / controle,afeta,Indicador de negócio,Risco → KPI,perda esperada,12 meses,GRC / Financeiro,risco evitado,business case,probabilidade e impacto validados
E16,Empresa,é comparada em,Benchmark,Empresa → Benchmark,percentil,mesmo período,Data mart,"posição, gap",priorizar serviços,mínimo de amostra e anonimização
E17,Interação,atualiza,Recomendação,Evento → Recomendação,recência / frequência,tempo real,Tracking,"CTR, aceitação, propensão",personalização,evento válido e consentido
E18,Versão de modelo,produz,Match,Modelo → Match,score,release,MLOps,"precisão, fairness",governança algorítmica,log de features e versão
E19,Cohort,contém,Pessoa,Cohort → Pessoa,elegibilidade,janela analítica,Camada analítica,"efeito, comparação",mensuração quase-experimental,critérios imutáveis na análise
E20,Consentimento,autoriza finalidade para,Pessoa,Consentimento → Pessoa,status,vigência,CMP,cobertura de consentimento,LGPD,revogação aplicada imediatamente
