Catálogo mestre de indicadores
,
"Cada indicador inclui pergunta, fórmula, fonte e como pode chegar a valor financeiro."
,
ID,Vertente,Visão,Camada,Indicador,Pergunta de gestão,Definição,Fórmula,Unidade,Polaridade,Frequência,Fonte mínima,Dimensões / cortes,Owner,Tipo,Alavanca financeira,Conversão financeira,Nível de evidência,Prioridade,Fase
PES-01,Pessoas,Pessoa,Insumo,Completude do perfil,Temos dados suficientes para orientar a pessoa?,Percentual de campos essenciais válidos.,campos essenciais preenchidos / campos essenciais esperados,%,Maior é melhor,Diária,Pessoa + consentimento,"empresa, região, persona",Produto,Leading,Qualidade / conversão,Não monetizar isoladamente,Descritivo,Alta,M0
PES-02,Pessoas,Pessoa,Sinal,Índice de prontidão,Quão preparada a pessoa está para a oportunidade-alvo?,"Score ponderado de requisitos, evidências e recência.",Σ(nível × peso × confiança × recência) / Σ pesos,score 0–100,Maior é melhor,Evento,Competência + evidência + oportunidade,"competência, papel, cohort",Inteligência,Leading,Produtividade / contratação,Usar como driver; monetizar somente via resultado posterior,Descritivo,Alta,M0
PES-03,Pessoas,Pessoa,Sinal,Gap crítico de capacidade,Quais lacunas bloqueiam resultado?,Peso dos requisitos não atendidos.,Σ pesos dos requisitos abaixo do nível mínimo,pontos,Menor é melhor,Semanal,Competência + oportunidade,"competência, função, empresa",RH,Leading,Produtividade / risco,horas de improdutividade associadas × custo-hora,Descritivo,Alta,M1
PES-04,Pessoas,Pessoa,Ação,Aceitação de recomendação,A recomendação leva a uma ação?,Recomendações aceitas no prazo.,recomendações aceitas / recomendações entregues,%,Maior é melhor,Semanal,Recomendação + evento,"modelo, tipo, canal",Produto,Leading,Conversão,valor médio do outcome × uplift de aceitação,Descritivo,Alta,M0
PES-05,Pessoas,Pessoa,Ação,Conclusão de jornada,A pessoa completa o caminho proposto?,Jornadas concluídas entre as iniciadas.,jornadas concluídas / jornadas iniciadas,%,Maior é melhor,Semanal,Jornada + eventos,"jornada, cohort, empresa",Produto / LMS,Leading,Produtividade / retenção,concluintes × efeito médio monetizado,Descritivo,Alta,M0
PES-06,Pessoas,Pessoa,Resultado,Evolução de capacidade,A capacidade mudou após a jornada?,Variação padronizada pré e pós.,score pós − score pré,p.p. ou score,Maior é melhor,Mensal,Diagnóstico + cohort,"competência, jornada, empresa",Inteligência,Lagging,Produtividade,pessoas × custo anual × ganho produtividade × atribuição,Quase-experimental,Alta,M1
PES-07,Pessoas,Pessoa,Resultado,Tempo até oportunidade,Quanto tempo leva para gerar oportunidade relevante?,Dias do cadastro/prontidão até primeira oportunidade aceita.,data oportunidade − data elegibilidade,dias,Menor é melhor,Mensal,Pessoa + oportunidade + match,"cohort, canal, empresa",Operações,Lagging,Receita / empregabilidade,dias reduzidos × custo diário da vacância ou oportunidade,Correlação,Média,M1
PES-08,Pessoas,Pessoa,Resultado,Mobilidade / conexão efetiva,"A conexão virou movimentação, projeto ou contrato?",Pessoas com outcome confirmado após match.,pessoas com outcome / pessoas com match aceito,%,Maior é melhor,Mensal,Match + outcome,"tipo de outcome, cohort",Operações,Lagging,Receita / retenção,outcomes incrementais × valor médio,Quase-experimental,Alta,M1
PES-09,Pessoas,Pessoa,Resultado,NPS da jornada,A experiência gerou valor percebido?,Net Promoter Score por jornada.,% promotores − % detratores,NPS,Maior é melhor,Mensal,Pesquisa,"jornada, etapa, persona",CX,Lagging,Retenção / indicação,não monetizar sem relação validada com churn,Descritivo,Média,M1
PES-10,Pessoas,Pessoa,Impacto,Valor gerado por pessoa,Quanto benefício comprovado foi associado a cada pessoa impactada?,Benefício atribuído dividido pelo público elegível.,benefício financeiro atribuído / pessoas impactadas,R$/pessoa,Maior é melhor,Trimestral,Outcomes + financeiro,"empresa, programa, cohort",Financeiro,Lagging,Lucro / custo,benefícios atribuídos após deduplicação,Quase-experimental,Alta,M2
RH-01,Empresas / RH,RH,Insumo,Cobertura de capacidades,Quanto da força de trabalho possui capacidades mapeadas?,Pessoas ativas com taxonomia válida.,pessoas mapeadas / pessoas elegíveis,%,Maior é melhor,Mensal,HRIS + competência,"função, unidade, região",RH,Leading,Risco / planejamento,não monetizar isoladamente,Descritivo,Alta,M0
RH-02,Empresas / RH,RH,Sinal,Risco de lacuna crítica,Onde faltam capacidades para a estratégia?,Exposição ponderada a gaps críticos.,Σ(gap × criticidade × população exposta),índice,Menor é melhor,Mensal,Capacidade + estratégia,"função, unidade, capacidade",RH / Estratégia,Leading,Risco / produtividade,probabilidade × impacto × redução atribuída,Descritivo,Alta,M1
RH-03,Empresas / RH,RH,Processo,Time-to-fill,Quanto tempo uma vaga crítica permanece aberta?,Dias entre abertura e aceite.,data aceite − data abertura,dias,Menor é melhor,Mensal,ATS,"função, senioridade, canal",Talent Acquisition,Lagging,Custo,dias evitados × custo diário da vacância × atribuição,Quase-experimental,Alta,M1
RH-04,Empresas / RH,RH,Processo,Custo por contratação,Quanto custa cada contratação concluída?,Custos de recrutamento divididos pelas admissões.,custos atribuíveis / admissões,R$/contratação,Menor é melhor,Mensal,ATS + financeiro,"canal, função, cohort",Talent Acquisition,Lagging,Custo,custo baseline − custo após HUB,Quase-experimental,Alta,M1
RH-05,Empresas / RH,RH,Resultado,Qualidade da contratação,A contratação permanece e performa?,"Score composto de desempenho, retenção e fit em 6/12 meses.","média ponderada(performance, retenção, fit)",score,Maior é melhor,Trimestral,ATS + HRIS + performance,"função, canal, cohort",RH,Lagging,Produtividade / retenção,uplift × custo de reposição ou valor de produtividade,Quase-experimental,Alta,M2
RH-06,Empresas / RH,RH,Resultado,Time-to-productivity,Em quanto tempo a pessoa atinge a performance esperada?,Dias da admissão até marco de produtividade.,data marco − data admissão,dias,Menor é melhor,Mensal,HRIS + performance,"função, jornada, cohort",RH / Operação,Lagging,Produtividade,dias reduzidos × custo diário carregado × pessoas,Quase-experimental,Alta,M2
RH-07,Empresas / RH,RH,Resultado,Turnover evitável,A intervenção reduz saídas evitáveis?,Diferença ajustada de turnover entre expostos e comparáveis.,turnover controle − turnover exposto,p.p.,Maior é melhor,Trimestral,HRIS + cohort,"função, gestor, jornada",People Analytics,Lagging,Custo / retenção,pessoas × redução turnover × custo reposição × atribuição,Quase-experimental,Alta,M2
