"RACI de dados, métricas e valor"
,
R = executa | A = responde pelo resultado | C = consultado | I = informado.
,
Atividade,CEO HUB,Produto,Data Eng.,Data Science,Financeiro HUB,Cliente / patrocinador,Owner do processo,Controladoria cliente,DPO / Segurança,Entidade,Primary A,Observação
Definir objetivo e decisão,A,C,I,C,C,C,R,C,I,C,CEO HUB,"Começar pela decisão, não pelo dashboard"
Definir indicador e fórmula,I,C,C,C,C,C,A,C,C,C,Owner do processo,"Owner de negócio aprova semântica"
Instrumentar eventos,I,A,R,C,I,I,C,I,C,I,Produto,"Contrato de dados versionado"
Integrar fontes,I,C,A,C,I,C,C,I,C,C,Data Eng.,"SLA e linhagem obrigatórios"
Garantir consentimento e acesso,I,C,R,C,I,C,I,I,A,I,DPO / Segurança,"Gate de privacidade"
Certificar qualidade,I,C,A,C,I,C,C,I,C,I,Data Eng.,"Quality gate antes da publicação"
Definir baseline e cohort,I,C,C,A,C,C,C,C,C,I,Data Science,"Antes da intervenção"
Calcular efeito,I,I,C,A,C,C,C,C,I,I,Data Science,"Método e incerteza registrados"
Monetizar benefício,I,I,C,C,A,C,C,C,I,I,Financeiro HUB,"Conversão financeira transparente"
Aprovar benefício,I,I,I,C,R,A,C,C,I,I,Cliente / patrocinador,"Sign-off do cliente"
Publicar dashboard,I,A,R,C,C,C,C,I,C,I,Produto,"Somente métrica certificada"
Monitorar modelo,I,C,C,A,I,I,C,I,C,I,Data Science,"Performance, fairness e drift"
Decidir escala / correção,A,C,I,C,C,C,R,C,I,C,CEO HUB,"Baseada em evidência e unit economics"
Certificar KPI,I,C,C,C,C,C,A,C,C,C,Owner do processo,"Fórmula, unidade, população, janela, fonte e versão obrigatórios"
Administrar retenção e expurgo,I,C,R,C,I,I,A,I,C,I,Owner do processo,"TTL por finalidade; exceção aprovada pelo DPO"
Versionar contratos e taxonomias,I,A,R,C,I,I,C,I,C,I,Produto,"Versão imutável após uso; changelog obrigatório"
Responder incidente de qualidade,I,C,R,C,I,I,A,I,C,I,Owner do processo,"Ticket <=4h, quarentena e postmortem"
Aprovar exceção de controle,A,C,C,C,C,C,R,C,C,I,CEO HUB,"Escopo, prazo e compensação registrados"
Executar rollback,I,C,R,A,I,I,C,I,C,I,Data Science,"Gatilho e teste trimestral; decisão auditada"
Liberar publicação de KPI,I,A,C,C,C,C,C,C,C,I,Produto,"Somente status certified + versão + evidência"
