Dicionário de dados mínimo
,
Campos necessários para instrumentar o mapa neural e os indicadores prioritários.
,
Tabela,Campo,Tipo,Definição,Chave,Obrigatório,Exemplo,Sensibilidade,Base legal / finalidade,Origem,Frequência,Regra de qualidade,Retenção,Controle de acesso,Consentimento / revogação,Evidência
dim_person,person_id,UUID,Identificador pseudônimo da pessoa.,PK,Sim,p_01...,Alta,Execução de contrato / consentimento conforme uso,Cadastro / HRIS,Tempo real,"único, não nulo e não reutilizado",60 meses vault; TTL analítico por finalidade,vault separado; RBAC DPO/Data,revogação bloqueia novos usos <=5 min,ROPA + token scan
dim_person,company_id,UUID,Empresa do vínculo vigente.,FK,Não,c_01...,Alta,Execução do serviço,HRIS / CRM,Diária,existir em dim_company,60 meses ou contrato + obrigação legal,purpose-scoped RBAC,não aplicável,access review + TTL log
dim_person,consent_status,enum,Status por finalidade de tratamento.,,Sim,granted,Crítica,Consentimento / obrigação legal,CMP,Tempo real,vigência e versão válidas,permanente enquanto necessário,CMP/DPO only; downstream read,revogação bloqueia processamento <=5 min,CMP log + propagation test
dim_person,profile_segment,string,Segmento operacional não sensível.,,Não,gestor,Média,Personalização,Cadastro,Diária,vocabulário controlado,24 months analytics,,,
dim_company,company_id,UUID,Identificador da organização.,PK,Sim,c_01...,Média,Execução do contrato,CRM,Diária,único e não nulo,60 months or contract + legal obligation,,,
dim_company,entity_id,UUID,Entidade à qual a empresa está associada.,FK,Não,e_01...,Média,Execução do serviço,CRM,Diária,vínculo vigente,60 months or contract + legal obligation,,,
dim_company,segment,enum,Setor/porte/cluster comercial.,,Sim,indústria_média,Baixa,Inteligência e serviço,CRM,Mensal,taxonomia versionada,24 months analytics,,,
dim_entity,entity_id,UUID,Identificador de entidade/rede.,PK,Sim,e_01...,Baixa,Execução do contrato,CRM,Diária,único,60 months or contract + legal obligation,,,
dim_skill,skill_id,UUID,Identificador de capacidade na taxonomia.,PK,Sim,sk_01...,Baixa,Inteligência,Taxonomia,Release,sem duplicidades semânticas,36 months after event,,,
dim_skill,skill_version,string,Versão da taxonomia.,,Sim,v3.2,Baixa,Auditabilidade,Taxonomia,Release,imutável após uso,60 months after taxonomy retirement,,,
fact_person_skill,person_id,UUID,Pessoa avaliada.,FK,Sim,p_01...,Alta,Execução do serviço,Diagnóstico,Evento,consentimento aplicável,36 meses após evento,token only; analysts no vault,revogação bloqueia novos cálculos <=5 min,consent event + load scan
fact_person_skill,skill_id,UUID,Capacidade avaliada.,FK,Sim,sk_01...,Média,Execução do serviço,Diagnóstico,Evento,taxonomia válida,36 months after event,,,
fact_person_skill,level,decimal,Nível padronizado.,,Sim,,Alta,Recomendação,Diagnóstico,Evento,0 a 5,36 meses após evento,purpose-scoped RBAC,consentimento aplicável,range test + lineage
fact_person_skill,confidence,decimal,Confiança baseada na evidência.,,Sim,,Média,Explicabilidade,Motor,Evento,0 a 1,36 months after event,,,
fact_assessment,assessment_id,UUID,Rodada de diagnóstico.,PK,Sim,a_01...,Alta,Execução do serviço,Plataforma,Evento,único,36 meses,restricted assessment role,consentimento aplicável,ID uniqueness + DSAR link
fact_assessment,instrument_version,string,Versão do instrumento.,,Sim,roi_people_v2,Média,Auditabilidade,Plataforma,Evento,versão existente,60 months after instrument retirement,,,
fact_assessment,dimension_score,decimal,Score por dimensão.,,Sim,,Alta,Diagnóstico,Plataforma,Evento,faixa definida,36 meses,restricted analytics,consentimento aplicável,range/population test
fact_event,event_id,UUID,Identificador do evento de produto.,PK,Sim,ev_01...,Média,Analytics,SDK,Tempo real,único e idempotente,24 months analytics; legal hold by exception,,,
fact_event,event_name,string,Nome padronizado do evento.,,Sim,recommendation_accepted,Baixa,Analytics,SDK,Tempo real,catálogo válido,24 months analytics,,,
fact_event,occurred_at,timestamp,Momento UTC do evento.,,Sim,2026-08-18T12:00Z,Média,Analytics,SDK,Tempo real,não futuro; timezone UTC,24 months analytics,,,
