"Governança, LGPD e confiabilidade"
,
"Regras mínimas para que a prova de valor seja legal, reproduzível e defensável."
,
Dimensão,Regra,Aplicação prática,Evidência / artefato,Owner,Cadência,Severidade,Bloqueia publicação?,Indicador,Fase
Finalidade,Cada uso de dado deve ter finalidade registrada.,mapear campo→finalidade→produto,ROPA / catálogo,DPO,Release,Crítica,Sim,% campos com finalidade,M0
Base legal,Base legal e consentimento devem ser verificáveis.,gate antes de feature/modelo,registro de consentimento,DPO,Tempo real,Crítica,Sim,cobertura de consentimento,M0
Minimização,Coletar apenas o necessário.,revisão semestral de campos,matriz necessidade,Data Governance,Semestral,Alta,Sim,% campos justificados,M0
Segurança,Dados sensíveis criptografados e segregados.,"KMS, RBAC, logs",evidência de controle,Security,Contínua,Crítica,Sim,incidentes e acessos,M0
Pseudonimização,Camada analítica não expõe identidade direta.,tokens e vault separado,arquitetura / teste,Data Engineering,Release,Crítica,Sim,% fatos pseudonimizados,M0
Retenção,Prazo definido por tabela e finalidade.,política automática de expurgo,log de deleção,DPO / Data,Mensal,Alta,Sim,% tabelas com TTL,M0
Direitos do titular,"Acesso, correção e revogação aplicáveis.",workflow de DSAR,SLA de atendimento,DPO,Mensal,Crítica,Sim,SLA DSAR,M0
Completude,Campos críticos dentro do piso acordado.,quality gate por pipeline,relatório de qualidade,Data Owner,Diária,Alta,Depende,completude,M0
Atualidade,Dado chega dentro do SLA da decisão.,monitor de freshness,alerta / incidente,Data Engineering,Diária,Alta,Depende,freshness,M0
Unicidade,Identidades e fatos não podem duplicar valor.,MDM e chaves idempotentes,relatório de duplicidade,Data Engineering,Diária,Alta,Sim,identidade resolvida,M0
Semântica,"KPI possui definição, fórmula, owner e versão.",catálogo de métricas,registro aprovado,Metric Owner,Trimestral,Alta,Sim,% KPIs certificados,M0
Baseline,Impacto exige baseline comparável.,checklist pré-intervenção,plano de mensuração,Inteligência,Projeto,Crítica,Sim,% cases com baseline,M1
Atribuição,Percentual de efeito deve ser explícito.,campo obrigatório no value mart,memória de cálculo,Financeiro,Trimestral,Crítica,Sim,% valor com atribuição,M2
Dupla contagem,Benefícios sobrepostos são deduplicados.,chave pessoa-resultado-período-alavanca,relatório de conflitos,Financeiro,Trimestral,Crítica,Sim,valor deduplicado,M2
Evidência,Toda estimativa recebe nível metodológico.,descritivo→experimental,score de confiança,Inteligência,Trimestral,Alta,Sim,índice de confiança,M2
Reprodutibilidade,Análise deve ser reproduzível por versão.,"snapshot, código, parâmetros",run_id / hash,Data Science,Release,Alta,Sim,% análises reproduzíveis,M1
Explicabilidade,Score que orienta decisão deve explicar fatores.,reason codes e documentação,model card,AI Governance,Release,Alta,Sim,% scores explicáveis,M1
Fairness,Performance é monitorada por grupos pertinentes.,métricas de erro/seleção,fairness report,AI Governance,Mensal,Crítica,Sim,gap de fairness,M1
Drift,Mudança de população ou performance gera alerta.,monitor de feature/model drift,alerta / rollback,Data Science,Semanal,Alta,Depende,drift,M1
Humano no loop,Decisões de alto impacto permitem revisão humana.,fila de revisão e justificativa,audit log,Process Owner,Contínua,Crítica,Sim,% revisões,M1
Acesso,Privilégio mínimo por visão e finalidade.,RBAC/ABAC,access review,Security,Trimestral,Crítica,Sim,acessos indevidos,M0
Publicação,Dashboard executivo usa somente métricas certificadas.,status draft/certified/deprecated,catálogo,Analytics,Release,Alta,Sim,% métricas certificadas,M0
Auditoria financeira,Benefício monetizado tem validação do cliente.,sign-off da controladoria,termo / comentário,Financeiro cliente,Trimestral,Crítica,Sim,% valor aprovado,M2
