sheet_name,csv_path,rows,columns,nonempty_rows
00_Leia-me,00_Leia-me/00_Leia-me.csv,45,3,33
01_Mapa_Visual,01_Mapa_Visual/01_Mapa_Visual.csv,25,18,15
02_Nos_de_Dados,02_Nos_de_Dados/02_Nos_de_Dados.csv,30,11,28
03_Conexoes,03_Conexoes/03_Conexoes.csv,25,11,23
04_Indicadores_Master,04_Indicadores_Master/04_Indicadores_Master.csv,78,20,76
05_Arvore_de_Valor,05_Arvore_de_Valor/05_Arvore_de_Valor.csv,17,10,15
06_Simulador_ROI,06_Simulador_ROI/06_Simulador_ROI.csv,43,12,38
07_Visoes_Dashboard,07_Visoes_Dashboard/07_Visoes_Dashboard.csv,15,10,13
08_Dicionario_Dados,08_Dicionario_Dados/08_Dicionario_Dados.csv,46,12,44
09_Eventos_Produto,09_Eventos_Produto/09_Eventos_Produto.csv,32,11,30
10_Integracoes,10_Integracoes/10_Integracoes.csv,20,12,18
11_Governanca_LGPD,11_Governanca_LGPD/11_Governanca_LGPD.csv,28,10,26
12_Roadmap,12_Roadmap/12_Roadmap.csv,10,10,8
13_Matriz_Integracao,13_Matriz_Integracao/13_Matriz_Integracao.csv,17,12,15
14_RACI,14_RACI/14_RACI.csv,18,12,16
