Árvore de valor financeiro
,
Cadeias causais que conectam uma ação da HUB a resultado monetizável.
,
Alavanca,Cadeia causal,Indicadores leading,Outcome de negócio,Fórmula financeira,Dados obrigatórios,Método mínimo de atribuição,Proteção contra dupla contagem,Visão,Decisão habilitada
Produtividade,capacidade → jornada → performance → output,"prontidão, gap, conclusão",ganho de produtividade,pessoas × custo anual carregado × % ganho × atribuição,"custo, população, baseline, cohort",pré/pós com comparável,não somar horas e produtividade se representam o mesmo efeito,RH / CFO,escalar jornadas com efeito
Time-to-productivity,match → contratação → onboarding → marco,"fit, aceitação, conclusão",dias até produtividade,dias reduzidos × custo diário × pessoas × atribuição,"data admissão, marco, custo diário",cohort histórico ajustado,não somar ao ganho anual no período sobreposto,RH / Operação,melhorar onboarding e matching
Retenção,experiência → capacidade → pertencimento → permanência,"adoção, NPS, evolução",turnover evitado,pessoas × redução turnover × custo reposição × atribuição,"turnover, custo reposição, exposição",diferença-em-diferenças,não somar vaga evitada e reposição da mesma pessoa,RH / CFO,priorizar cohorts de risco
Recrutamento,dados → matching → shortlist → contratação,"precisão do match, fit",time-to-fill e custo por contratação,dias evitados × custo de vacância + custo operacional evitado,"ATS, custo, datas, origem",cohort de vagas comparáveis,separar custo operacional de vacância,Talent Acquisition,otimizar canais e regras
Compras,demanda → match → homologação → contrato,"cobertura, elegibilidade",ciclo e saving,saving validado + custo de ciclo evitado,"preço referência, realizado, volume, horas",comparação por categoria,não somar desconto e margem se mesmo efeito,Compras / CFO,escalar categorias com prova
Risco,diagnóstico → alerta → controle → risco residual,"cobertura, severidade",perda esperada reduzida,probabilidade × impacto × delta de risco × atribuição,"matriz de risco, incidentes, controles",baseline e revisão de especialista,não somar custo real e risco esperado do mesmo evento,Riscos / Jurídico,priorizar mitigação
Receita incremental,sinal → oportunidade → ação → contrato,"propensão, pipeline",negócio incremental,receita incremental × margem de contribuição × atribuição,"touchpoints, contrato, margem, baseline","holdout, geo ou cohort",monetizar margem; receita é informativa,Comercial / CFO,investir em canais e ofertas
Receita recorrente HUB,ativação → valor → renovação → expansão,"time-to-value, uso","MRR, NRR, churn",MRR inicial + expansão − contração − churn,"billing, CRM, uso, plano",cohort de clientes,não somar ARR e MRR anualizado,CEO HUB,"produto, preço e CS"
Marketplace,oferta → match → contrato → transação,"cobertura, conversão",GMV e take rate,GMV elegível × take rate − custos variáveis,"contrato, transação, origem",rastreabilidade do match,separar GMV de receita HUB,Marketplace,liquidez e monetização
Entidade,dados → benchmark → serviço → renovação,"cobertura, ativação",valor por associado e renovação,renovações incrementais × ARR médio × margem,"associados, uso, contrato, benefício",cohort por tier,não somar benefício do associado à receita da entidade,Firjan / entidades,portfólio de serviços
Marketing,alcance → lead → oportunidade → contrato,"alcance qualificado, CPL",pipeline e margem incremental,delta conversão × volume × ticket × margem × atribuição,"UTM, CRM, custo, margem",holdout/campanha comparável,não somar pipeline e receita fechada,Marketing / RevOps,mix de mídia
Inovação / novos mercados,rede → conexão → piloto → receita,"densidade, matches",novos produtos/mercados,margem incremental dos negócios com origem rastreada,"origem, projeto, contrato, margem",contrafactual documentado,separar receita existente de expansão,Estratégia,replicar casos
