"RACI de dados, métricas e valor"
,
R = executa | A = responde pelo resultado | C = consultado | I = informado.
,
Atividade,CEO HUB,Produto,Data Eng.,Data Science,Financeiro HUB,Cliente / patrocinador,Owner do processo,Controladoria cliente,DPO / Segurança,Entidade,Observação
Definir objetivo e decisão,A,C,I,C,C,A,R,C,I,C,"Começar pela decisão, não pelo dashboard"
Definir indicador e fórmula,I,C,C,C,C,A,R,C,C,C,Owner de negócio aprova semântica
Instrumentar eventos,I,A/R,R,C,I,I,C,I,C,I,Contrato de dados versionado
Integrar fontes,I,C,A/R,C,I,C,C,I,C,C,SLA e linhagem obrigatórios
Garantir consentimento e acesso,I,C,R,C,I,C,I,I,A/R,I,Gate de privacidade
Certificar qualidade,I,C,A/R,C,I,C,C,I,C,I,Quality gate antes da publicação
Definir baseline e cohort,I,C,C,A/R,C,A,C,C,C,I,Antes da intervenção
Calcular efeito,I,I,C,A/R,C,C,C,C,I,I,Método e incerteza registrados
Monetizar benefício,I,I,C,C,A/R,C,C,A,I,I,Conversão financeira transparente
Aprovar benefício,I,I,I,C,R,A,C,A/R,I,I,Sign-off do cliente
Publicar dashboard,I,A,R,C,C,C,C,I,C,I,Somente métrica certificada
Monitorar modelo,I,C,C,A/R,I,I,C,I,A/C,I,"Performance, fairness e drift"
Decidir escala / correção,A,C,I,C,C,A,R,C,I,C,Baseada em evidência e unit economics
